Id,Opcja,Kariera,Zdrowie,Pieniądze,Relacje,Wynik,https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
11,"Wolę stabilność",5,,10,,"Nadszedł kryzys, ale utrzymałeś pracę dzięki rozsądkowi",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
12,"Potrzebuję przygody, będzie co będzie",-20,-5,-10,,"Nadszedł kryzys, straciłeś pracę i oszczędności",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
13,"Sprzedaję część majątku i inwestuję",10,,20,5,"Twoja decyzja okazuje się trafiona – kapitał szybko rośnie",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
14,"Zachowuję wszystko i żyję z odsetek",,5,10,,"Stabilne życie bez ryzyka, ale mało emocji",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
15,"Zostaję i próbuję naprawić relację",,,-5,15,"Wspólna terapia przynosi efekty, związek nabiera siły",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
16,"Zmieniam swoje życie i odchodzę",10,5,,-10,"Po czasie czujesz ulgę i zaczynasz nowy etap",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
17,"Przyjmuję awans, mimo stresu",15,-5,10,-5,"Zyskujesz pozycję i pieniądze, ale cierpi równowaga życiowa",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
18,"Odrzucam awans dla spokoju",-5,,-5,10,"Masz mniej stresu, ale tracisz szansę na rozwój",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
19,"Biorę więcej obowiązków, chcę zapewnić rodzinie bezpieczeństwo",10,-5,-10,10,"Więcej pracy i stresu, ale rodzina ma lepsze warunki",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
20,"Skupiam się na rodzinie, ograniczam karierę",-10,5,-5,15,"Zyskujesz bliskość i satysfakcję kosztem kariery",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
21,"Oszczędzam agresywnie i rezygnuję z przyjemności",,,10,-5,"Utrzymujesz stabilność, ale czujesz presję",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
22,"Inwestuję mimo ryzyka",10,,-5,,"Ryzyko się opłaca – twoje oszczędności rosną",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
23,"Zostaję w obecnym mieście",-5,5,-5,10,"Bezpieczna decyzja, brak dużych zmian, ale mniejsze możliwości"C,https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
24,"Przeprowadzam się – czas na nowy start",10,,-10,10,"Nowe otoczenie, nowe znajomości, lepsze perspektywy zawodowe",https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Y291cnNlfGVufDB8fDB8fHww
